"","ensembl_gene_id","hgnc_symbol","chromosome_name","Most_Likely_Path","Max_PP"
"11304","ENSG00000128590","DNAJB9","7","Down-Up-Down","1"
"54406","ENSG00000073756","PTGS2","1","Up-Up-Down","0.9999"
"47260","ENSG00000228742","LINC02577","7","Down-Up-Down","0.9998"
"15775","ENSG00000106803","SEC61B","9","Down-Up-Down","0.9986"
"11518","ENSG00000147614","ATP6V0D2","8","Up-Up-Down","0.9975"
"20050","ENSG00000167136","ENDOG","9","Up-Down-Down","0.9955"
"44644","ENSG00000165181","C9orf84","9","Down-Up-Down","0.995"
"43478","ENSG00000188747","NOXA1","9","Up-Down-Down","0.9917"
"41243","ENSG00000175274","TP53I11","11","Down-Down-Up","0.9759"
"36170","ENSG00000237973","MTCO1P12","1","Down-Up-Up","0.9732"
"15720","ENSG00000129128","SPCS3","4","Down-Up-Down","0.9719"
"26442","ENSG00000151012","SLC7A11","4","Down-Up-Down","0.9618"
"31892","ENSG00000168282","MGAT2","14","Up-Down-Down","0.9598"
"15540","ENSG00000184937","WT1","11","Down-Down-Up","0.9517"
"29250","ENSG00000211448","DIO2","14","Down-Up-Down","0.9487"
"37459","ENSG00000233822","HIST1H2BN","6","Down-Up-Down","0.9485"
"40753","ENSG00000162604","TM2D1","1","Down-Up-Down","0.9472"
"38981","ENSG00000101084","RAB5IF","20","Up-Down-Down","0.9464"
"41094","ENSG00000165813","CCDC186","10","Down-Up-Down","0.9458"
"47040","ENSG00000184678","HIST2H2BE","1","Down-Up-Down","0.9444"
"54979","ENSG00000167964","RAB26","16","Down-Down-Up","0.9376"
"45063","ENSG00000169359","SLC33A1","3","Down-Up-Down","0.9335"
"30691","ENSG00000120738","EGR1","5","Down-Up-Down","0.9334"
"47158","ENSG00000240489","SETP14","3","Down-Down-Up","0.93"
"50016","ENSG00000243678","NME2","17","Up-Up-Down","0.9284"
"42804","ENSG00000117707","PROX1","1","Up-Up-Down","0.9281"
"40633","ENSG00000015479","MATR3","5","Up-Up-Down","0.9272"
"16002","ENSG00000243449","C4orf48","4","Up-Down-Down","0.9225"
"5652","ENSG00000221890","NPTXR","22","Down-Down-Up","0.9207"
"36347","ENSG00000269688","","19","Up-Down-Up","0.9128"
"45005","ENSG00000141933","TPGS1","19","Up-Down-Down","0.911"
"30445","ENSG00000117318","ID3","1","Down-Up-Down","0.9087"
"11723","ENSG00000272121","","3","Down-Up-Down","0.9052"
"44166","ENSG00000273888","FRMD6-AS1","14","Down-Up-Down","0.9038"
"27599","ENSG00000268403","","11","Down-Up-Down","0.9035"
"21262","ENSG00000166341","DCHS1","11","Down-Down-Up","0.9029"
"30898","ENSG00000180596","HIST1H2BC","6","Down-Up-Down","0.9023"
"16054","ENSG00000279384","","4","Down-Up-Down","0.9014"
"50391","ENSG00000131503","ANKHD1","5","Down-Up-Down","0.8979"
"44703","ENSG00000273419","","7","Up-Down-Up","0.8967"
"25130","ENSG00000203867","RBM20","10","Down-Up-Down","0.8954"
"38519","ENSG00000134709","HOOK1","1","Down-Up-Down","0.8944"
"50692","ENSG00000225178","RPSAP58","19","Up-Up-Down","0.8917"
"10867","ENSG00000183638","RP1L1","8","Up-Down-Up","0.8878"
"26584","ENSG00000137843","PAK6","15","Down-Down-Up","0.8855"
"36727","ENSG00000166402","TUB","11","Down-Down-Up","0.8854"
"26271","ENSG00000260001","TGFBR3L","19","Up-Down-Down","0.8833"
"10721","ENSG00000137474","MYO7A","11","Up-Down-Up","0.8821"
"NA",NA,NA,NA,"Up-Up-Down","0.8816"
"10927","ENSG00000276023","DUSP14","17","Down-Up-Down","0.8801"
"22475","ENSG00000188910","GJB3","1","Down-Down-Up","0.8759"
"52225","ENSG00000092295","TGM1","14","Up-Down-Up","0.8754"
"20531","ENSG00000197632","SERPINB2","18","Down-Up-Down","0.8751"
"17981","ENSG00000214182","PTMAP5","13","Down-Down-Up","0.8678"
"35928","ENSG00000185168","LINC00482","17","Down-Up-Down","0.8663"
"18291","ENSG00000226976","COX6A1P2","6","Down-Down-Up","0.8647"
"35512","ENSG00000282508","LINC01002","19","Up-Down-Up","0.8631"
"31042","ENSG00000273415","","11","Down-Up-Down","0.8621"
"41132","ENSG00000124479","NDP","X","Down-Up-Down","0.8599"
"24985","ENSG00000152082","MZT2B","2","Down-Down-Down","0.8568"
"48305","ENSG00000235636","NUS1P1","X","Down-Up-Down","0.8567"
"35288","ENSG00000129535","NRL","14","Down-Up-Down","0.8559"
"44216","ENSG00000107954","NEURL1","10","Down-Down-Up","0.8536"
"24997","ENSG00000250144","","4","Up-Up-Down","0.8522"
"43146","ENSG00000082482","KCNK2","1","Down-Up-Down","0.8521"
"54897","ENSG00000254473","","9","Down-Down-Up","0.8512"
"3427","ENSG00000172458","IL17D","13","Down-Up-Down","0.8494"
"51023","ENSG00000198133","TMEM229B","14","Down-Down-Up","0.8477"
"43820","ENSG00000243137","PSG4","19","Down-Up-Down","0.8426"
"22870","ENSG00000187066","TMEM262","11","Up-Down-Up","0.8415"
"22619","ENSG00000242615","","19","Up-Down-Up","0.8393"
"1766","ENSG00000279041","","8","Down-Up-Down","0.8382"
"6285","ENSG00000163491","NEK10","3","Down-Up-Down","0.8381"
"29821","ENSG00000164220","F2RL2","5","Down-Up-Down","0.8364"
"8289","ENSG00000160180","TFF3","21","Down-Down-Up","0.8357"
"27092","ENSG00000197859","ADAMTSL2","9","Down-Down-Up","0.8342"
"17028","ENSG00000273702","","17","Down-Up-Down","0.8323"
"16925","ENSG00000213638","ADAT3","19","Up-Down-Down","0.8315"
"41541","ENSG00000170835","CEL","9","Down-Down-Up","0.8295"
"49477","ENSG00000174428","GTF2IRD2B","7","Down-Down-Up","0.8293"
"55249","ENSG00000161677","JOSD2","19","Up-Down-Down","0.8284"
"31555","ENSG00000259291","ZNF710-AS1","15","Up-Down-Up","0.8258"
"33189","ENSG00000160318","CLDND2","19","Down-Down-Up","0.8228"
"29531","ENSG00000213997","PGAM1P7","X","Up-Down-Up","0.821"
"42316","ENSG00000272983","","10","Up-Down-Up","0.8208"
"24163","ENSG00000229604","MTATP8P2","2","Down-Down-Up","0.8193"
"25945","ENSG00000176973","FAM89B","11","Down-Up-Up","0.8178"
"25077","ENSG00000156171","DRAM2","1","Down-Up-Down","0.8162"
"28146","ENSG00000177888","ZBTB41","1","Down-Up-Down","0.8159"
"33224","ENSG00000232472","EEF1B2P3","X","Up-Down-Up","0.815"
"37967","ENSG00000246089","","8","Down-Up-Down","0.8143"
"39202","ENSG00000253504","MTCYBP19","8","Down-Down-Up","0.8136"
"1373","ENSG00000254469","","11","Down-Down-Up","0.8135"
"NA.1",NA,NA,NA,"Down-Down-Up","0.8134"
"46057","ENSG00000115919","KYNU","2","Down-Up-Down","0.8133"
"54021","ENSG00000162458","FBLIM1","1","Down-Down-Up","0.8131"
"26215","ENSG00000240652","","11","Down-Up-Up","0.812"
"42149","ENSG00000231848","","2","Up-Up-Down","0.8115"
"53259","ENSG00000160712","IL6R","1","Down-Up-Down","0.8107"
"28584","ENSG00000278974","","4","Up-Up-Down","0.8098"
"10414","ENSG00000272808","","15","Up-Down-Up","0.8049"
"4511","ENSG00000237719","","6","Up-Down-Up","0.8028"
"37593","ENSG00000250365","","14","Up-Up-Down","0.8025"
"25729","ENSG00000012779","ALOX5","10","Down-Up-Down","0.8012"
"54201","ENSG00000179743","","1","Down-Up-Down","0.7995"
"49509","ENSG00000271828","","5","Up-Up-Down","0.7993"
"51846","ENSG00000245317","","5","Down-Up-Down","0.7991"
"2123","ENSG00000077616","NAALAD2","11","Down-Up-Down","0.7973"
"50018","ENSG00000104267","CA2","8","Up-Up-Down","0.7972"
"3590","ENSG00000182389","CACNB4","2","Down-Up-Down","0.7962"
"33913","ENSG00000173258","ZNF483","9","Down-Up-Down","0.7943"
"39240","ENSG00000188738","FSIP2","2","Down-Up-Down","0.7942"
"13647","ENSG00000167994","RAB3IL1","11","Down-Up-Down","0.7936"
"32486","ENSG00000257596","","12","Up-Up-Down","0.7936"
"36141","ENSG00000228492","RAB11FIP1P1","X","Up-Up-Down","0.7934"
"34550","ENSG00000157680","DGKI","7","Down-Up-Down","0.7905"
"35591","ENSG00000258708","SLC25A21-AS1","14","Down-Up-Down","0.7902"
"48504","ENSG00000213185","FAM24B","10","Down-Up-Down","0.7898"
"18823","ENSG00000173638","SLC19A1","21","Up-Down-Up","0.7893"
"37066","ENSG00000198856","OSTC","4","Down-Up-Down","0.7879"
"37627","ENSG00000282885","","14","Down-Up-Down","0.7876"
"35510","ENSG00000165985","C1QL3","10","Down-Up-Down","0.7875"
"44085","ENSG00000226053","LINC01776","1","Down-Up-Down","0.7864"
"4560","ENSG00000197744","PTMAP2","5","Up-Down-Up","0.7864"
"23964","ENSG00000218358","RAET1K","6","Up-Up-Down","0.7862"
"24194","ENSG00000131019","ULBP3","6","Up-Down-Up","0.7852"
"38978","ENSG00000145491","ROPN1L","5","Down-Up-Down","0.7849"
"36024","ENSG00000125538","IL1B","2","Down-Up-Down","0.7847"
"15812","ENSG00000237015","","22","Up-Down-Up","0.7847"
"40244","ENSG00000117594","HSD11B1","1","Down-Down-Up","0.784"
"40757","ENSG00000261207","","16","Up-Down-Up","0.7839"
"10358","ENSG00000141527","CARD14","17","Up-Up-Down","0.782"
"35684","ENSG00000125505","MBOAT7","19","Down-Down-Up","0.7816"
"36079","ENSG00000114812","VIPR1","3","Up-Down-Up","0.7809"
"42102","ENSG00000260285","","14","Down-Up-Down","0.7786"
"11190","ENSG00000279347","","8","Up-Down-Up","0.7765"
"24669","ENSG00000225339","","6","Up-Down-Up","0.7747"
"32946","ENSG00000247081","BAALC-AS1","8","Down-Up-Down","0.7747"
"24490","ENSG00000185338","SOCS1","16","Down-Down-Up","0.7738"
"31220","ENSG00000166262","FAM227B","15","Down-Down-Up","0.7737"
"15318","ENSG00000197847","SLC22A20P","11","Down-Up-Down","0.7733"
"23928","ENSG00000084710","EFR3B","2","Down-Down-Up","0.7706"
"47685","ENSG00000268568","","19","Up-Up-Down","0.7706"
"53702","ENSG00000198157","HMGN5","X","Down-Down-Up","0.7694"
"51662","ENSG00000110944","IL23A","12","Down-Up-Down","0.7683"
"45297","ENSG00000103044","HAS3","16","Down-Up-Down","0.7663"
"35498","ENSG00000231369","","22","Up-Down-Up","0.7656"
"56798","ENSG00000222881","","17","Up-Down-Up","0.7648"
"12394","ENSG00000162959","MEMO1","2","Up-Up-Down","0.7638"
"48609","ENSG00000272990","","3","Up-Down-Up","0.7638"
"34574","ENSG00000261126","RBFADN","18","Up-Down-Up","0.7634"
"32431","ENSG00000272807","","2","Up-Up-Down","0.7626"
"27142","ENSG00000145244","CORIN","4","Down-Up-Down","0.7623"
"43534","ENSG00000267248","","17","Down-Up-Down","0.7622"
"2691","ENSG00000213225","NOC2LP1","2","Down-Down-Up","0.7621"
"53857","ENSG00000204228","HSD17B8","6","Down-Down-Up","0.7609"
"39453","ENSG00000188710","QRFP","9","Down-Up-Up","0.7584"
"42004","ENSG00000277977","","19","Up-Up-Down","0.7579"
"54477","ENSG00000137968","SLC44A5","1","Up-Up-Down","0.7578"
"46343","ENSG00000183066","WBP2NL","22","Down-Up-Down","0.7578"
"19157","ENSG00000255769","GOLGA2P10","15","Down-Down-Up","0.7573"
"48618","ENSG00000169282","KCNAB1","3","Up-Down-Up","0.7556"
"9334","ENSG00000246922","UBAP1L","15","Up-Down-Up","0.7547"
"24093","ENSG00000245281","","8","Down-Up-Down","0.7543"
"53239","ENSG00000261286","ATP2C2-AS1","16","Up-Down-Up","0.754"
"22777","ENSG00000272282","LINC02084","3","Down-Up-Down","0.7519"
"43771","ENSG00000204941","PSG5","19","Down-Up-Down","0.7517"
"44470","ENSG00000050030","NEXMIF","X","Up-Up-Down","0.7508"
"18295","ENSG00000140459","CYP11A1","15","Down-Up-Down","0.7508"
"47710","ENSG00000183423","LRIT3","4","Down-Up-Down","0.7506"
"NA.2",NA,NA,NA,"Down-Up-Down","0.7491"
"25955","ENSG00000155849","ELMO1","7","Down-Up-Down","0.749"
"35514","ENSG00000234036","TXNP6","4","Up-Up-Down","0.7483"
"31567","ENSG00000257376","","12","Up-Up-Down","0.7481"
"49095","ENSG00000256262","USP30-AS1","12","Up-Down-Up","0.7472"
"51423","ENSG00000277806","","19","Down-Up-Down","0.7468"
"28797","ENSG00000213398","LCAT","16","Up-Down-Up","0.7464"
"23152","ENSG00000204745","","2","Up-Up-Down","0.7459"
"39667","ENSG00000138378","STAT4","2","Down-Up-Down","0.7452"
"5582","ENSG00000226823","SUGT1P1","9","Down-Up-Down","0.7448"
"4756","ENSG00000246640","","17","Up-Up-Down","0.7448"
"8292","ENSG00000123612","ACVR1C","2","Down-Up-Down","0.7444"
"26744","ENSG00000250479","CHCHD10","22","Up-Down-Up","0.7436"
"47105","ENSG00000244945","","5","Down-Down-Up","0.742"
"5724","ENSG00000155530","LRGUK","7","Up-Up-Down","0.7419"
"22363","ENSG00000261094","","9","Down-Up-Down","0.7416"
"13769","ENSG00000229007","EXOSC3P1","21","Down-Down-Up","0.7409"
"7490","ENSG00000245711","NADK2-AS1","5","Down-Up-Down","0.7402"
"17527","ENSG00000085514","PILRA","7","Up-Up-Down","0.74"
"8208","ENSG00000214049","UCA1","19","Down-Down-Up","0.7394"
"31675","ENSG00000226167","AP4B1-AS1","1","Down-Up-Down","0.7393"
"36040","ENSG00000174514","MFSD4A","1","Up-Up-Down","0.7386"
"14719","ENSG00000231177","LINC00852","3","Down-Down-Up","0.7386"
"36973","ENSG00000230069","LRRC37A15P","4","Up-Up-Down","0.7379"
"42239","ENSG00000280347","","7","Down-Up-Down","0.7371"
"50261","ENSG00000267934","","19","Up-Down-Up","0.7371"
"53132","ENSG00000261730","","6","Down-Up-Down","0.7365"
"23975","ENSG00000133710","SPINK5","5","Down-Up-Down","0.7359"
"5414","ENSG00000260213","","16","Down-Down-Up","0.7356"
"52285","ENSG00000268049","","19","Down-Down-Up","0.7356"
"55919","ENSG00000200090","","11","Up-Up-Down","0.7354"
"28450","ENSG00000237943","PRKCQ-AS1","10","Up-Up-Down","0.7351"
"7523","ENSG00000279019","","16","Down-Down-Up","0.7345"
"50946","ENSG00000267058","","19","Up-Down-Up","0.7339"
"40189","ENSG00000183111","ARHGEF37","5","Up-Down-Up","0.7336"
"19817","ENSG00000277559","","16","Up-Down-Up","0.7336"
"42484","ENSG00000257681","","12","Up-Up-Down","0.7335"
"21083","ENSG00000106541","AGR2","7","Down-Up-Down","0.7329"
"32184","ENSG00000162194","LBHD1","11","Up-Up-Down","0.7321"
"41445","ENSG00000237013","LINC01812","2","Down-Up-Down","0.7318"
"531","ENSG00000205740","","10","Up-Up-Down","0.7313"
"51649","ENSG00000170989","S1PR1","1","Down-Up-Up","0.7301"
"3398","ENSG00000279792","","17","Down-Down-Up","0.7295"
"25665","ENSG00000261662","","1","Down-Up-Up","0.7287"
"26104","ENSG00000226803","ZNF451-AS1","6","Down-Up-Down","0.7286"
"4736","ENSG00000115738","ID2","2","Down-Up-Down","0.7276"
"41374","ENSG00000247950","SEC24B-AS1","4","Down-Up-Down","0.7274"
"5155","ENSG00000261468","","3","Up-Up-Down","0.7273"
"38669","ENSG00000119630","PGF","14","Up-Up-Down","0.7263"
"36800","ENSG00000188060","RAB42","1","Up-Down-Up","0.7261"
"4308","ENSG00000271978","","6","Up-Down-Up","0.726"
"38140","ENSG00000224080","UBE2FP1","3","Down-Up-Down","0.7259"
"43435","ENSG00000230734","RPL10P3","9","Down-Up-Up","0.7253"
"34073","ENSG00000105617","LENG1","19","Down-Down-Down","0.7253"
"50080","ENSG00000255471","","11","Down-Up-Down","0.7245"
"5286","ENSG00000184343","SRPK3","X","Up-Down-Up","0.7242"
"32645","ENSG00000135604","STX11","6","Down-Down-Up","0.724"
"26977","ENSG00000227440","ATP5MC1P4","3","Down-Up-Down","0.7237"
"52369","ENSG00000255559","ZNF252P-AS1","8","Down-Up-Down","0.7237"
"5015","ENSG00000179406","LINC00174","7","Up-Down-Up","0.7229"
"NA.3",NA,NA,NA,"Down-Up-Down","0.7229"
"53658","ENSG00000131188","PRR7","5","Up-Down-Down","0.7218"
"9447","ENSG00000062282","DGAT2","11","Up-Down-Up","0.7218"
"25923","ENSG00000273449","","4","Down-Up-Down","0.7217"
"4376","ENSG00000215093","EEF1A1P29","X","Up-Up-Down","0.7216"
"23440","ENSG00000184792","OSBP2","22","Down-Down-Up","0.7213"
"12670","ENSG00000147996","CBWD5","9","Up-Up-Down","0.7208"
"14576","ENSG00000259354","","15","Down-Down-Up","0.72"
"9834","ENSG00000234130","","X","Down-Down-Up","0.719"
"36144","ENSG00000276141","WHAMMP3","15","Up-Up-Down","0.7181"
"39191","ENSG00000178460","MCMDC2","8","Down-Up-Down","0.7169"
"6672","ENSG00000235245","","10","Up-Down-Down","0.7167"
"39618","ENSG00000272009","","6","Down-Up-Down","0.7164"
"51801","ENSG00000180953","ST20","15","Up-Up-Down","0.7163"
"42577","ENSG00000259321","","14","Up-Down-Up","0.7162"
"35256","ENSG00000118407","FILIP1","6","Down-Up-Down","0.7161"
"24369","ENSG00000237773","","7","Down-Up-Down","0.7157"
"5325","ENSG00000213236","YWHAZP2","2","Up-Up-Down","0.7152"
"46220","ENSG00000061455","PRDM6","5","Down-Up-Down","0.7152"
"27464","ENSG00000235400","","1","Up-Up-Down","0.7147"
"7625","ENSG00000157653","C9orf43","9","Up-Up-Down","0.7147"
"54736","ENSG00000248019","FAM13A-AS1","4","Down-Up-Down","0.7144"
"5057","ENSG00000140563","MCTP2","15","Up-Down-Up","0.7141"
"38118","ENSG00000173269","MMRN2","10","Down-Up-Down","0.7131"
"23684","ENSG00000159496","RGL4","22","Down-Down-Up","0.7131"
"36095","ENSG00000233532","LINC00460","13","Down-Down-Up","0.713"
"26050","ENSG00000258727","","14","Down-Down-Up","0.713"
"34290","ENSG00000181418","DDN","12","Down-Up-Down","0.7123"
"23749","ENSG00000272578","","22","Up-Down-Up","0.7119"
"54469","ENSG00000260261","","3","Down-Up-Down","0.7104"
"8573","ENSG00000144908","ALDH1L1","3","Down-Down-Up","0.7095"
"10117","ENSG00000261634","","15","Down-Up-Down","0.7092"
"29039","ENSG00000230177","","6","Up-Up-Down","0.7091"
"23993","ENSG00000185291","IL3RA","X","Down-Up-Down","0.7089"
"43562","ENSG00000274976","","12","Down-Up-Down","0.7088"
"42162","ENSG00000102984","ZNF821","16","Up-Down-Up","0.7086"
"8365","ENSG00000100207","TCF20","22","Up-Down-Up","0.7086"
"37872","ENSG00000174599","TRAM1L1","4","Up-Up-Down","0.7076"
"43608","ENSG00000159958","TNFRSF13C","22","Down-Down-Up","0.7074"
