"","ensembl_gene_id","hgnc_symbol","chromosome_name","Most_Likely_Path","Max_PP"
"19684","ENSG00000137752","CASP1","11","Up-Down-Up","0.5069"
"51157","ENSG00000139438","FAM222A","12","Up-Down-Down","0.5069"
"31320","ENSG00000232445","","7","Up-Down-Up","0.5068"
"NA.13",NA,NA,NA,"Up-Down-Up","0.5068"
"40397","ENSG00000248213","CICP16","4","Up-Down-Up","0.5067"
"40633","ENSG00000015479","MATR3","5","Up-Down-Up","0.5067"
"46847","ENSG00000187908","DMBT1","10","Up-Down-Up","0.5067"
"27868","ENSG00000145757","SPATA9","5","Up-Down-Up","0.5066"
"9290","ENSG00000146592","CREB5","7","Up-Down-Up","0.5066"
"18598","ENSG00000215915","ATAD3C","1","Up-Down-Up","0.5065"
"46362","ENSG00000222000","","2","Down-Down-Up","0.5065"
"40701","ENSG00000103024","NME3","16","Up-Up-Down","0.5065"
"23565","ENSG00000173890","GPR160","3","Up-Down-Up","0.5064"
"28946","ENSG00000185432","METTL7A","12","Down-Up-Up","0.5064"
"15659","ENSG00000128274","A4GALT","22","Up-Up-Down","0.5064"
"5028","ENSG00000206149","HERC2P9","15","Up-Down-Up","0.5063"
"54130","ENSG00000267213","","19","Down-Up-Down","0.5063"
"3217","ENSG00000010295","IFFO1","12","Down-Up-Down","0.5062"
"10448","ENSG00000151773","CCDC122","13","Down-Down-Up","0.5062"
"18212","ENSG00000103260","METRN","16","Up-Up-Down","0.5062"
"33941","ENSG00000204131","NHSL2","X","Down-Up-Down","0.506"
"33859","ENSG00000245149","RNF139-AS1","8","Down-Down-Up","0.506"
"5891","ENSG00000164683","HEY1","8","Up-Up-Down","0.5059"
"9508","ENSG00000177548","RABEP2","16","Up-Up-Down","0.5059"
"34444","ENSG00000251247","ZNF345","19","Up-Down-Up","0.5059"
"10744","ENSG00000247708","STX18-AS1","4","Up-Down-Up","0.5057"
"45132","ENSG00000113739","STC2","5","Down-Up-Down","0.5057"
"9437","ENSG00000034053","APBA2","15","Down-Up-Down","0.5057"
"25841","ENSG00000108961","RANGRF","17","Down-Down-Up","0.5057"
"31899","ENSG00000153291","SLC25A27","6","Up-Down-Up","0.5056"
"44241","ENSG00000101342","TLDC2","20","Up-Down-Up","0.5056"
"55312","ENSG00000212694","LINC01089","12","Down-Up-Up","0.5055"
"28740","ENSG00000136689","IL1RN","2","Down-Up-Down","0.5054"
"22863","ENSG00000104313","EYA1","8","Down-Up-Down","0.5054"
"53212","ENSG00000137504","CREBZF","11","Up-Down-Up","0.5052"
"48412","ENSG00000167646","DNAAF3","19","Up-Down-Up","0.5052"
"26254","ENSG00000259976","","3","Down-Up-Down","0.5051"
"44905","ENSG00000197536","C5orf56","5","Up-Down-Up","0.5051"
"32554","ENSG00000253522","MIR3142HG","5","Up-Down-Up","0.505"
"47323","ENSG00000173611","SCAI","9","Up-Down-Up","0.505"
"30196","ENSG00000160284","SPATC1L","21","Up-Up-Down","0.505"
"46383","ENSG00000130734","ATG4D","19","Up-Up-Down","0.5049"
"1976","ENSG00000105519","CAPS","19","Up-Down-Up","0.5048"
"15407","ENSG00000272994","","2","Up-Down-Up","0.5047"
"33305","ENSG00000132522","GPS2","17","Up-Down-Up","0.5047"
"33613","ENSG00000161048","NAPEPLD","7","Up-Down-Up","0.5046"
"22465","ENSG00000119669","IRF2BPL","14","Up-Up-Down","0.5045"
"37307","ENSG00000259515","","14","Up-Down-Up","0.5045"
"17266","ENSG00000225151","GOLGA2P7","15","Down-Up-Down","0.5045"
"54851","ENSG00000115425","PECR","2","Up-Down-Up","0.5044"
"32549","ENSG00000120833","SOCS2","12","Up-Down-Up","0.5043"
"47097","ENSG00000163041","H3F3A","1","Down-Down-Up","0.5042"
"25146","ENSG00000168490","PHYHIP","8","Up-Down-Down","0.504"
"43199","ENSG00000246451","","14","Down-Down-Up","0.504"
"43102","ENSG00000198113","TOR4A","9","Up-Up-Down","0.5039"
"22428","ENSG00000183570","PCBP3","21","Down-Up-Down","0.5039"
"32661","ENSG00000173588","CEP83","12","Up-Down-Up","0.5038"
"32743","ENSG00000167377","ZNF23","16","Up-Down-Up","0.5038"
"4623","ENSG00000099203","TMED1","19","Up-Up-Down","0.5038"
"37207","ENSG00000144821","MYH15","3","Down-Up-Up","0.5036"
"28118","ENSG00000173698","ADGRG2","X","Down-Up-Down","0.5036"
"31153","ENSG00000012211","PRICKLE3","X","Down-Up-Down","0.5036"
"35491","ENSG00000229656","ITGB1-DT","10","Down-Up-Down","0.5036"
"5325","ENSG00000213236","YWHAZP2","2","Down-Up-Down","0.5035"
"36271","ENSG00000148926","ADM","11","Down-Up-Down","0.5035"
"6639","ENSG00000279800","BCLAF1P2","16","Down-Up-Down","0.5035"
"4432","ENSG00000171368","TPPP","5","Down-Up-Down","0.5033"
"52670","ENSG00000112218","GPR63","6","Down-Down-Up","0.5032"
"21865","ENSG00000014164","ZC3H3","8","Up-Up-Down","0.5031"
"47886","ENSG00000196312","MFSD14C","9","Up-Down-Up","0.5031"
"41085","ENSG00000229809","ZNF688","16","Up-Down-Up","0.5031"
